




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (101)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
ammonium transmembrane transport (GO:0072488)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of neuron apoptotic process (GO:0043523)	32	0	.23	-	 < 0.01	1.00E00	1.00E00
rRNA import into mitochondrion (GO:0035928)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA import into mitochondrion (GO:0035927)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of myosin II filament assembly (GO:0043520)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
arginine catabolic process to proline (GO:0019493)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitophagy (GO:0000423)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
autophagy of mitochondrion (GO:0000422)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of myosin II filament organization (GO:0043519)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
branchiomotor neuron axon guidance (GO:0021785)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glial cell development (GO:0021782)	33	0	.24	-	 < 0.01	1.00E00	1.00E00
glial cell fate commitment (GO:0021781)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
beta-alanine biosynthetic process (GO:0019483)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-alanine metabolic process (GO:0019482)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
L-alanine catabolic process, by transamination (GO:0019481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
renal absorption (GO:0070293)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cytosol to Golgi apparatus transport (GO:0140820)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acylethanolamine metabolic process (GO:0070291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein peptidyl-prolyl isomerization (GO:0000413)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
DNA ligation involved in DNA repair (GO:0051103)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of JUN kinase activity (GO:0043508)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of JUN kinase activity (GO:0043507)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of JUN kinase activity (GO:0043506)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA binding (GO:0051101)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-amino acid catabolic process (GO:0019478)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
skeletal muscle adaptation (GO:0043501)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle adaptation (GO:0043500)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of oogenesis (GO:1905881)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
4-hydroxyproline metabolic process (GO:0019471)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
axonemal dynein complex assembly (GO:0070286)	30	0	.22	-	 < 0.01	1.00E00	1.00E00
pigment cell development (GO:0070285)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of oogenesis (GO:1905879)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
glycine decarboxylation via glycine cleavage system (GO:0019464)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of 3'-UTR-mediated mRNA stabilization (GO:1905870)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extracellular matrix constituent secretion (GO:0070278)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of exit from mitosis (GO:0031536)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
plus-end directed microtubule sliding (GO:0031535)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
minus-end directed microtubule sliding (GO:0031534)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell projection assembly (GO:0060491)	50	0	.37	-	 < 0.01	1.00E00	1.00E00
regulation of 3'-UTR-mediated mRNA stabilization (GO:1905868)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of Atg1/ULK1 kinase complex assembly (GO:1905866)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of Atg1/ULK1 kinase complex assembly (GO:1905864)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of border follicle cell migration (GO:1903688)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of border follicle cell migration (GO:1903687)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of border follicle cell migration (GO:1903684)	42	0	.31	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial cell-cell adhesion involved in epithelium migration (GO:1903683)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial cell-cell adhesion involved in epithelium migration (GO:1903681)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ectoderm and mesoderm interaction (GO:0007499)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
posterior midgut development (GO:0007497)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anterior midgut development (GO:0007496)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mesenchyme development (GO:0060485)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
visceral mesoderm-endoderm interaction involved in midgut development (GO:0007495)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
endodermal cell fate determination (GO:0007493)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoderm development (GO:0007492)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
sternite morphogenesis (GO:0007491)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tergite morphogenesis (GO:0007490)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of pentose-phosphate shunt (GO:1905857)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-cysteine catabolic process (GO:0019448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tryptophan catabolic process to acetyl-CoA (GO:0019442)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tryptophan catabolic process to kynurenine (GO:0019441)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium export from the mitochondrion (GO:0099093)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actin-mediated cell contraction (GO:0070252)	24	0	.18	-	 < 0.01	1.00E00	1.00E00
maintenance of imaginal histoblast diploidy (GO:0007489)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histoblast morphogenesis (GO:0007488)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
analia development (GO:0007487)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
imaginal disc-derived female genitalia development (GO:0007486)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
imaginal disc-derived male genitalia development (GO:0007485)	24	0	.18	-	 < 0.01	1.00E00	1.00E00
imaginal disc-derived genitalia development (GO:0007484)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
genital disc morphogenesis (GO:0007483)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
haltere development (GO:0007482)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
haltere disc morphogenesis (GO:0007481)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
response to DNA damage checkpoint signaling (GO:0072423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
triglyceride catabolic process (GO:0019433)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of defense response to virus by host (GO:0050691)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
removal of superoxide radicals (GO:0019430)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization organization (GO:0099084)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
subtelomeric heterochromatin formation (GO:0031509)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
pericentric heterochromatin formation (GO:0031508)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
heterochromatin formation (GO:0031507)	99	0	.72	-	 < 0.01	1.00E00	1.00E00
leg disc proximal/distal pattern formation (GO:0007479)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
response to salt stress (GO:0009651)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
protein-containing complex localization (GO:0031503)	58	0	.42	-	 < 0.01	1.00E00	1.00E00
notum development (GO:0007477)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
UV protection (GO:0009650)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
imaginal disc-derived wing morphogenesis (GO:0007476)	276	0	2.02	-	 < 0.01	2.73E-01	1.00E00
apposition of dorsal and ventral imaginal disc-derived wing surfaces (GO:0007475)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
pharynx development (GO:0060465)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
imaginal disc-derived wing vein specification (GO:0007474)	51	0	.37	-	 < 0.01	1.00E00	1.00E00
wing disc proximal/distal pattern formation (GO:0007473)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
wing disc morphogenesis (GO:0007472)	289	0	2.11	-	 < 0.01	2.79E-01	1.00E00
allantoin biosynthetic process (GO:0019428)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of defense response to virus (GO:0050688)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA biosynthetic process from acetate (GO:0019427)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mRNA processing (GO:0050686)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA processing (GO:0050685)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA processing (GO:0050684)	100	0	.73	-	 < 0.01	1.00E00	1.00E00
positive regulation of spindle assembly (GO:1905832)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endosomal lumen acidification (GO:0048388)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial cell proliferation (GO:0050680)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mesectoderm development (GO:0048383)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
entrainment of circadian clock (GO:0009649)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
photoperiodism (GO:0009648)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
pyruvate transmembrane transport (GO:1901475)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to high light intensity (GO:0009644)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
antennal development (GO:0007469)	26	0	.19	-	 < 0.01	1.00E00	1.00E00
response to light intensity (GO:0009642)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of digestive system process (GO:0060457)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of digestive system process (GO:0060456)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
R7 cell fate commitment (GO:0007465)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
R3/R4 cell fate commitment (GO:0007464)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
R2/R5 cell fate commitment (GO:0007463)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
R1/R6 cell fate commitment (GO:0007462)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
R8 cell fate commitment (GO:0007460)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of hindgut contraction (GO:0060450)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfide oxidation (GO:0019418)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial cell proliferation (GO:0050678)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
epithelial cell proliferation (GO:0050673)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
response to DNA integrity checkpoint signaling (GO:0072402)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of chromosome separation (GO:1905820)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle tethering involved in synaptic vesicle exocytosis (GO:0099069)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of chaperone-mediated protein folding (GO:1903646)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynapse assembly (GO:0099068)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of chaperone-mediated protein folding (GO:1903645)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of chaperone-mediated protein folding (GO:1903644)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
response to red or far red light (GO:0009639)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
response to blue light (GO:0009637)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfide oxidation, using sulfide:quinone oxidoreductase (GO:0070221)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of tetrapyrrole biosynthetic process (GO:1901463)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cold acclimation (GO:0009631)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
progression of morphogenetic furrow involved in compound eye morphogenesis (GO:0007458)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
branching involved in open tracheal system development (GO:0060446)	60	0	.44	-	 < 0.01	1.00E00	1.00E00
eye-antennal disc morphogenesis (GO:0007455)	39	0	.29	-	 < 0.01	1.00E00	1.00E00
dorsal/ventral lineage restriction, imaginal disc (GO:0007451)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
dorsal/ventral pattern formation, imaginal disc (GO:0007450)	55	0	.40	-	 < 0.01	1.00E00	1.00E00
negative regulation of chromosome separation (GO:1905819)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of chromosome separation (GO:1905818)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
dolichol biosynthetic process (GO:0019408)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
homocysteine metabolic process (GO:0050667)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
hexitol catabolic process (GO:0019407)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of dorsal/ventral axon guidance (GO:1905815)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hexitol biosynthetic process (GO:0019406)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
alditol catabolic process (GO:0019405)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide biosynthetic process (GO:0050665)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
renal water transport (GO:0003097)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
developmental maturation (GO:0021700)	191	0	1.40	-	 < 0.01	4.08E-01	1.00E00
renal sodium ion transport (GO:0003096)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
renal water homeostasis (GO:0003091)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phenol-containing compound biosynthetic process (GO:0046189)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
response to gravity (GO:0009629)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
presynapse assembly (GO:0099054)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
protein poly-ADP-ribosylation (GO:0070212)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aldehyde catabolic process (GO:0046185)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
aldehyde biosynthetic process (GO:0046184)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to insect (GO:0009625)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trachea morphogenesis (GO:0060439)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
proximal/distal pattern formation, imaginal disc (GO:0007449)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
trachea development (GO:0060438)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
anterior/posterior pattern specification, imaginal disc (GO:0007448)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
response to fungus (GO:0009620)	69	0	.50	-	 < 0.01	1.00E00	1.00E00
imaginal disc pattern formation (GO:0007447)	110	0	.80	-	 < 0.01	1.00E00	1.00E00
imaginal disc growth (GO:0007446)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
determination of imaginal disc primordium (GO:0007445)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
Malpighian tubule morphogenesis (GO:0007443)	44	0	.32	-	 < 0.01	1.00E00	1.00E00
anterior midgut (ectodermal) morphogenesis (GO:0007441)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of synapse pruning (GO:1905808)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA transport (GO:0050658)	92	0	.67	-	 < 0.01	1.00E00	1.00E00
regulation of synapse pruning (GO:1905806)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleic acid transport (GO:0050657)	92	0	.67	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
vesicle tethering to endoplasmic reticulum (GO:0099044)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-gluconate catabolic process (GO:0046177)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aldonic acid catabolic process (GO:0046176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of protein localization (GO:0070201)	58	0	.42	-	 < 0.01	1.00E00	1.00E00
RNAi-mediated antiviral immune response (GO:0009616)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
polyol catabolic process (GO:0046174)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to virus (GO:0009615)	55	0	.40	-	 < 0.01	1.00E00	1.00E00
vesicle tethering to Golgi (GO:0099041)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ectodermal digestive tract development (GO:0007439)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
response to wounding (GO:0009611)	108	0	.79	-	 < 0.01	1.00E00	1.00E00
oenocyte development (GO:0007438)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
protein transport (GO:0015031)	362	0	2.65	-	 < 0.01	1.17E-01	1.00E00
larval salivary gland morphogenesis (GO:0007436)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
salivary gland morphogenesis (GO:0007435)	70	0	.51	-	 < 0.01	1.00E00	1.00E00
salivary gland boundary specification (GO:0007432)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
salivary gland development (GO:0007431)	94	0	.69	-	 < 0.01	1.00E00	1.00E00
terminal branching, open tracheal system (GO:0007430)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
DNA synthesis involved in mitochondrial DNA replication (GO:0110166)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate catabolic process (GO:0046168)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
response to symbiotic bacterium (GO:0009609)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate biosynthetic process (GO:0046167)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to symbiont (GO:0009608)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde-3-phosphate biosynthetic process (GO:0046166)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alcohol catabolic process (GO:0046164)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
secondary branching, open tracheal system (GO:0007429)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
heme a metabolic process (GO:0046160)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
primary branching, open tracheal system (GO:0007428)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
epithelial cell migration, open tracheal system (GO:0007427)	36	0	.26	-	 < 0.01	1.00E00	1.00E00
tracheal outgrowth, open tracheal system (GO:0007426)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
muscle tissue morphogenesis (GO:0060415)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
epithelial cell fate determination, open tracheal system (GO:0007425)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
open tracheal system development (GO:0007424)	243	0	1.78	-	 < 0.01	4.28E-01	1.00E00
sensory organ development (GO:0007423)	470	0	3.43	-	 < 0.01	5.16E-02	1.00E00
peripheral nervous system development (GO:0007422)	56	0	.41	-	 < 0.01	1.00E00	1.00E00
stomatogastric nervous system development (GO:0007421)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
brain development (GO:0007420)	112	0	.82	-	 < 0.01	1.00E00	1.00E00
mRNA methylguanosine-cap decapping (GO:0110156)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
NAD-cap decapping (GO:0110155)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA decapping (GO:0110154)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
mesodermal cell differentiation (GO:0048333)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
mesoderm morphogenesis (GO:0048332)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
ocellus pigment metabolic process (GO:0046158)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
plasma membrane invagination (GO:0099024)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
vesicle tethering (GO:0099022)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
ommochrome metabolic process (GO:0046152)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0015014)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
ventral cord development (GO:0007419)	74	0	.54	-	 < 0.01	1.00E00	1.00E00
ventral midline development (GO:0007418)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to alcohol (GO:1901421)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan biosynthetic process (GO:0015012)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to alcohol (GO:1901420)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
synapse assembly (GO:0007416)	63	0	.46	-	 < 0.01	1.00E00	1.00E00
defasciculation of motor neuron axon (GO:0007415)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
axonal defasciculation (GO:0007414)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
axonal fasciculation (GO:0007413)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
sodium ion export across plasma membrane (GO:0036376)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
axon target recognition (GO:0007412)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
axon guidance (GO:0007411)	244	0	1.78	-	 < 0.01	4.28E-01	1.00E00
imidazole-containing compound catabolic process (GO:0052805)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
imidazole-containing compound metabolic process (GO:0052803)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to amino acid starvation (GO:0034198)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
acylglycerol transport (GO:0034196)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
circadian regulation of heart rate (GO:0003053)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of response to alcohol (GO:1901419)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
multivesicular body sorting pathway (GO:0071985)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to ethanol (GO:1901418)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin metabolic process (GO:0046146)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
somatic sex determination (GO:0018993)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of response to ethanol (GO:1901416)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
germ-line sex determination (GO:0018992)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle exocytosis (GO:0099011)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
egg-laying behavior (GO:0018991)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
